date,categorie,defm
2007-05,E,228300
2007-06,A,1957e3
2007-06,B,442e3
2007-06,C,668200
2007-06,D,167200
2007-06,E,230800
2007-07,A,2036400
2007-07,B,417300
2007-07,C,644900
2007-07,D,111400
2007-07,E,227900
2007-08,A,2163300
2007-08,B,445700
2007-08,C,555500
2007-08,D,110600
2007-08,E,224e3
2007-09,A,2100100
2007-09,B,476100
2007-09,C,627100
2007-09,D,142100
2007-09,E,225700
2007-10,A,2105800
2007-10,B,460600
2007-10,C,645200
2007-10,D,173300
2007-10,E,230300
2007-11,A,2094300
2007-11,B,463200
2007-11,C,620300
2007-11,D,193900
2007-11,E,231400
2007-12,A,2054e3
2007-12,B,469900
2007-12,C,612600
2007-12,D,176300
2007-12,E,220700
2008-01,A,2136300
2008-01,B,465200
2008-01,C,579900
2008-01,D,194700
2008-01,E,222600
2008-02,A,2074900
2008-02,B,471700
2008-02,C,594200
2008-02,D,202700
2008-02,E,228800
2008-03,A,2002600
2008-03,B,459100
2008-03,C,611800
2008-03,D,207500
2008-03,E,230200
2008-04,A,1923700
2008-04,B,459900
2008-04,C,635500
2008-04,D,208600
2008-04,E,233700
2008-05,A,1880700
2008-05,B,451800
2008-05,C,626100
2008-05,D,197400
2008-05,E,235100
2008-06,A,1858100
2008-06,B,437300
2008-06,C,632100
2008-06,D,165700
2008-06,E,226800
2008-07,A,1940600
2008-07,B,415e3
2008-07,C,627300
2008-07,D,114200
2008-07,E,224e3
2008-08,A,2100400
2008-08,B,440600
2008-08,C,513200
2008-08,D,106800
2008-08,E,215800
2008-09,A,2076900
2008-09,B,473400
2008-09,C,597900
2008-09,D,144200
2008-09,E,217300
2008-10,A,2144800
2008-10,B,479900
2008-10,C,602e3
2008-10,D,172900
2008-10,E,221500
2008-11,A,2227600
2008-11,B,478500
2008-11,C,550800
2008-11,D,191900
2008-11,E,223600
2008-12,A,2258100
2008-12,B,475200
2008-12,C,568700
2008-12,D,188800
2008-12,E,218400
2009-01,A,2420600
2009-01,B,479600
2009-01,C,511200
2009-01,D,205800
2009-01,E,222300
2009-02,A,2463800
2009-02,B,485700
